,date,akoka_local_t3a,amuwo_local_t3,apapa_mains_1,apapa_mains_2,apapa_road_local_t1,apapa_road_local_t2,badia_33,causeway_1_33,causeway_2_33,flour_mills,naval_base,nrc_(akangba),nrc_(akoka),sabo_33,unilag,total_max_capacity,total_feeder_deficit,total_energy_deficit
0,2019-01-01,226.0,16.0,154.5,218.5,76.50000000000003,48.70000000000013,48.10000000000002,234.40000000000003,205.0,0.0,122.89999999999996,327.70000000000005,5.0,104.29999999999998,173.0,3114.800000000001,5075.4000000000015,1960.6000000000004
1,2019-01-02,226.0,45.0,106.5,184.5,98.00000000000004,129.70000000000016,71.80000000000004,231.40000000000003,213.6,0.0,122.89999999999996,327.70000000000005,5.0,121.29999999999998,173.0,3114.800000000001,5171.200000000002,2056.4000000000005
2,2019-01-03,226.0,85.0,142.5,195.5,126.10000000000002,157.6000000000001,166.40000000000006,236.10000000000002,266.8,0.0,122.89999999999996,327.70000000000005,5.0,161.29999999999998,173.0,3114.800000000001,5506.700000000001,2391.8999999999996
3,2019-01-04,226.0,37.0,103.5,145.5,97.30000000000005,143.40000000000015,110.80000000000007,233.60000000000002,200.7,0.0,122.89999999999996,327.70000000000005,5.0,119.29999999999998,173.0,3114.800000000001,5160.500000000002,2045.7000000000007
4,2019-01-05,226.0,25.0,128.5,178.5,104.30000000000003,116.40000000000015,83.20000000000005,235.20000000000002,211.9,0.0,122.89999999999996,327.70000000000005,5.0,118.29999999999998,173.0,3114.800000000001,5170.700000000001,2055.8999999999996
5,2019-01-06,226.0,17.0,134.5,148.5,107.20000000000003,108.00000000000011,73.90000000000003,238.00000000000003,189.99999999999994,0.0,122.89999999999996,327.70000000000005,5.0,123.29999999999998,173.0,3114.800000000001,5109.800000000001,1995.0
6,2019-01-07,226.0,35.0,107.5,187.5,127.20000000000005,153.80000000000013,131.80000000000007,219.90000000000003,234.0,0.0,122.89999999999996,327.70000000000005,5.0,127.29999999999998,173.0,3114.800000000001,5293.4000000000015,2178.6000000000004
7,2019-01-08,226.0,10.0,82.5,182.5,116.00000000000003,186.7000000000001,29.10000000000008,232.40000000000003,183.40000000000003,0.0,122.89999999999996,327.70000000000005,5.0,127.29999999999998,173.0,3114.800000000001,5119.300000000001,2004.5
8,2019-01-09,226.0,26.0,97.5,183.5,112.50000000000004,164.2000000000001,52.30000000000007,231.00000000000003,233.3,0.0,122.89999999999996,327.70000000000005,5.0,128.29999999999998,173.0,3114.800000000001,5198.000000000002,2083.2000000000007
9,2019-01-10,226.0,23.0,81.5,139.5,114.70000000000003,135.30000000000013,34.90000000000006,230.90000000000003,203.60000000000002,0.0,122.89999999999996,326.20000000000005,5.0,122.29999999999998,173.0,3114.800000000001,5053.600000000001,1938.8000000000002
10,2019-01-11,226.0,28.0,79.5,125.5,87.60000000000004,122.90000000000013,73.90000000000006,236.60000000000002,219.39999999999998,0.0,122.89999999999996,326.1,5.0,160.29999999999998,173.0,3114.800000000001,5101.500000000002,1986.7000000000007
11,2019-01-12,226.0,29.0,127.5,195.5,105.50000000000003,123.10000000000014,83.60000000000008,243.00000000000003,219.20000000000002,0.0,122.89999999999996,327.40000000000003,5.0,135.29999999999998,173.0,3114.800000000001,5230.800000000001,2116.0
12,2019-01-13,226.0,26.0,123.5,171.5,106.40000000000005,115.10000000000015,18.800000000000068,229.70000000000002,200.5,0.0,122.89999999999996,327.70000000000005,5.0,112.29999999999998,173.0,3114.800000000001,5073.200000000001,1958.3999999999996
13,2019-01-14,226.0,30.0,102.5,173.5,99.50000000000001,114.00000000000016,117.90000000000006,231.90000000000003,184.6,0.0,122.89999999999996,327.70000000000005,5.0,121.29999999999998,173.0,3114.800000000001,5144.600000000001,2029.8000000000002
14,2019-01-15,226.0,35.0,123.5,167.5,107.20000000000002,142.80000000000013,193.10000000000008,230.60000000000002,244.9,0.0,122.89999999999996,277.70000000000005,5.0,118.29999999999998,173.0,3114.800000000001,5282.300000000001,2167.5
15,2019-01-16,226.0,40.0,105.5,167.5,103.20000000000003,123.70000000000014,82.00000000000006,232.8,208.0,0.0,122.89999999999996,129.70000000000005,5.0,108.29999999999998,173.0,3114.800000000001,4942.4000000000015,1827.6000000000004
16,2019-01-17,226.0,28.0,104.5,162.0,93.10000000000004,119.80000000000014,86.70000000000005,232.40000000000003,214.29999999999998,0.0,122.89999999999996,123.70000000000005,5.0,132.29999999999998,173.0,3114.800000000001,4938.500000000002,1823.7000000000007
17,2019-01-18,226.0,111.0,186.0,215.0,149.3,172.60000000000014,159.90000000000003,243.60000000000002,281.4,0.0,122.89999999999996,193.70000000000005,5.0,164.29999999999998,173.0,3114.800000000001,5518.500000000001,2403.7
18,2019-01-19,226.0,81.0,164.5,201.5,113.00000000000003,166.7000000000001,149.90000000000006,251.60000000000002,273.8,0.0,122.89999999999996,179.70000000000005,5.0,151.29999999999998,173.0,3114.800000000001,5374.700000000001,2259.8999999999996
19,2019-01-20,226.0,56.0,136.5,192.5,103.80000000000001,222.80000000000013,147.20000000000005,251.60000000000002,274.3,0.0,122.89999999999996,221.70000000000005,5.0,150.29999999999998,173.0,3114.800000000001,5398.4000000000015,2283.6000000000004
20,2019-01-21,226.0,30.0,98.5,148.5,94.60000000000005,141.0000000000001,59.80000000000007,251.60000000000002,224.2,0.0,122.89999999999996,327.70000000000005,5.0,122.29999999999998,173.0,3114.800000000001,5139.9000000000015,2025.1000000000004
