,MAE,MSE,RMSE,MAPE,R² Score
LSTM,138.80056952391433,35714.739732686416,188.9834377205749,0.07250994398791227,0.4158421225921105
CNN,126.9067904104314,32596.738973324038,180.54567004867226,0.06482418564001223,0.46684080602024003
GRU,125.56895292326875,29411.19556720107,171.4969258243455,0.06546549629545761,0.5189442313409743
BiLSTM,128.28149652472123,31510.99150723024,177.51335585591931,0.06647571769462146,0.48459952244772886
