,MAE,MSE,RMSE,MAPE,R² Score
LSTM,128.71665586946156,31857.726734583208,178.48732933904077,0.06722110086747053,0.47892824733977446
CNN,127.43938843346534,31591.674627015655,177.74046986270645,0.06581717359071466,0.48327985218415526
GRU,126.21808167363555,31281.657286631205,176.86621295948868,0.06619081807863869,0.4883505617252044
BiLSTM,128.78293177358424,32106.990812820815,179.1842370657107,0.06729796594742884,0.47485123107290106
